日期,基金代码,动量值
2020-09-14,sz159915,95.13596323247800
2020-09-14,sz159992,91.80790960451980
2020-09-14,sh512690,101.42555438226000
2020-09-15,sz159915,98.15758526068210
2020-09-15,sz159992,94.10511363636360
2020-09-15,sh512690,101.37348124669800
2020-09-16,sz159915,94.9269792467333
2020-09-16,sz159992,91.12676056338030
2020-09-16,sh512690,98.64016736401670
2020-09-17,sz159915,92.53563390847710
2020-09-17,sz159992,86.68478260869570
2020-09-17,sh512690,92.70623742454730
2020-09-18,sz159915,95.29768676526360
2020-09-18,sz159992,88.67536032944410
2020-09-18,sh512690,92.896174863388
2020-09-21,sz159915,93.30323551542510
2020-09-21,sz159992,88.88121546961330
2020-09-21,sh512690,93.2521562658549
2020-09-22,sz159915,92.26457399103140
2020-09-22,sz159992,89.12742382271470
2020-09-22,sh512690,93.24462640736950
2020-09-23,sz159915,94.53448925744440
2020-09-23,sz159992,92.76773296244790
2020-09-23,sh512690,91.8429003021148
2020-09-24,sz159915,93.02501895375290
2020-09-24,sz159992,92.28070175438600
2020-09-24,sh512690,92.34350750129330
2020-09-25,sz159915,96.39074146724210
2020-09-25,sz159992,96.48866130212140
2020-09-25,sh512690,95.03433703116750
2020-09-28,sz159915,94.92979719188770
2020-09-28,sz159992,93.47353154459750
2020-09-28,sh512690,97.89644012944980
2020-09-29,sz159915,101.59836065573800
2020-09-29,sz159992,99.31350114416480
2020-09-29,sh512690,100.55279159756800
2020-09-30,sz159915,103.57885975863500
2020-09-30,sz159992,100.22953328232600
2020-09-30,sh512690,99.29347826086960
2020-10-09,sz159915,105.38995508370800
2020-10-09,sz159992,101.96374622356500
2020-10-09,sh512690,97.47235387045810
2020-10-12,sz159915,108.01127214170700
2020-10-12,sz159992,106.92307692307700
2020-10-12,sh512690,101.40551795939600
2020-10-13,sz159915,107.34824281150200
2020-10-13,sz159992,106.18867924528300
2020-10-13,sh512690,101.77175612298100
2020-10-14,sz159915,108.0161943319840
2020-10-14,sz159992,108.11437403400300
2020-10-14,sh512690,103.55249204666000
2020-10-15,sz159915,107.41791649777100
2020-10-15,sz159992,109.01253918495300
2020-10-15,sh512690,105.91427021161200
2020-10-16,sz159915,104.8149621965780
2020-10-16,sz159992,108.35913312693500
2020-10-16,sh512690,103.04812834224600
2020-10-19,sz159915,104.83870967741900
2020-10-19,sz159992,105.51670551670600
2020-10-19,sh512690,103.86289445049000
2020-10-20,sz159915,107.12839206156300
2020-10-20,sz159992,106.75990675990700
2020-10-20,sh512690,108.23271130625700
2020-10-21,sz159915,104.14673046252000
2020-10-21,sz159992,103.07346326836600
2020-10-21,sh512690,108.49780701754400
2020-10-22,sz159915,105.21597392013000
2020-10-22,sz159992,102.58555133079800
2020-10-22,sh512690,112.26890756302500
2020-10-23,sz159915,102.4013024013020
2020-10-23,sz159992,98.02880970432150
2020-10-23,sh512690,109.28293496386900
2020-10-26,sz159915,104.06737880032900
2020-10-26,sz159992,101.3188518231190
2020-10-26,sh512690,106.77685950413200
2020-10-27,sz159915,103.26744655102900
2020-10-27,sz159992,102.99539170506900
2020-10-27,sh512690,107.9714128642110
2020-10-28,sz159915,103.53555644837300
2020-10-28,sz159992,102.67175572519100
2020-10-28,sh512690,111.1111111111110
2020-10-29,sz159915,101.00736148779500
2020-10-29,sz159992,102.0
2020-10-29,sh512690,112.2636412749870
2020-10-30,sz159915,95.52739470741710
2020-10-30,sz159992,97.33812949640290
2020-10-30,sh512690,103.64476386037000
2020-11-02,sz159915,97.35863095238100
2020-11-02,sz159992,95.5223880597015
2020-11-02,sh512690,104.86431131592400
2020-11-03,sz159915,99.28785607196400
2020-11-03,sz159992,97.28377412437460
2020-11-03,sh512690,105.93958013312900
2020-11-04,sz159915,100.30188679245300
2020-11-04,sz159992,98.41840402588070
2020-11-04,sh512690,106.25
2020-11-05,sz159915,102.12604403948400
2020-11-05,sz159992,98.14285714285720
2020-11-05,sh512690,110.22314478463900
2020-11-06,sz159915,101.42307692307700
2020-11-06,sz159992,98.01178203240060
2020-11-06,sh512690,109.84808800419100
2020-11-09,sz159915,102.7977315689980
2020-11-09,sz159992,98.68995633187770
2020-11-09,sh512690,108.31643002028400
2020-11-10,sz159915,102.37366003062800
2020-11-10,sz159992,97.74545454545460
2020-11-10,sh512690,110.71248105103600
2020-11-11,sz159915,100.50348567002300
2020-11-11,sz159992,96.73832468495180
2020-11-11,sh512690,109.38123752495000
2020-11-12,sz159915,103.61685214626400
2020-11-12,sz159992,102.24284609435400
2020-11-12,sh512690,114.80162767039700
2020-11-13,sz159915,103.39518357678600
2020-11-13,sz159992,100.7656967840740
2020-11-13,sh512690,110.9907120743030
2020-11-16,sz159915,102.34375
2020-11-16,sz159992,99.03057419835950
2020-11-16,sh512690,113.79837067209800
2020-11-17,sz159915,99.80597594101670
2020-11-17,sz159992,96.05947955390330
2020-11-17,sh512690,108.52216748768500
2020-11-18,sz159915,97.19984656693520
2020-11-18,sz159992,92.01161946259990
2020-11-18,sh512690,104.33108758421600
2020-11-19,sz159915,99.72688255950060
2020-11-19,sz159992,94.3089430894309
2020-11-19,sh512690,108.420009905894
2020-11-20,sz159915,98.43332059610240
2020-11-20,sz159992,95.16369047619050
2020-11-20,sh512690,109.619140625
2020-11-23,sz159915,97.8859947149868
2020-11-23,sz159992,93.75459221160910
2020-11-23,sh512690,109.90816819719700
2020-11-24,sz159915,97.14070729872080
2020-11-24,sz159992,92.03798392987580
2020-11-24,sh512690,109.88428158148500
2020-11-25,sz159915,93.97769516728620
2020-11-25,sz159992,89.51965065502180
2020-11-25,sh512690,102.96610169491500
2020-11-26,sz159915,95.6389836935912
2020-11-26,sz159992,91.8106686701728
2020-11-26,sh512690,105.38865045302800
2020-11-27,sz159915,93.12247149687390
2020-11-27,sz159992,90.56047197640120
2020-11-27,sh512690,103.37078651685400
2020-11-30,sz159915,95.02617801047120
2020-11-30,sz159992,91.88988095238100
