datetime,open,rate
2017-07-06,1.0662,0.8895
2017-07-07,1.069,0.2626
2017-07-10,1.0678,-0.1123
2017-07-11,1.0537,-1.3205
2017-07-12,1.0575,0.3606
2017-07-13,1.0607,0.3026
2017-07-14,1.0548,-0.5562
2017-07-17,1.0104,-4.2093
2017-07-18,1.0145,0.4058
2017-07-19,1.026,1.1336
2017-07-20,1.0322,0.6043
2017-07-21,1.0349,0.2616
2017-07-24,1.0385,0.3479
2017-07-25,1.0317,-0.6548
2017-07-26,1.0308,-0.0872
2017-07-27,1.0384,0.7373
2017-07-28,1.0477,0.8956
2017-07-31,1.0617,1.3363
2017-08-01,1.0545,-0.6782
2017-08-02,1.0469,-0.7207
2017-08-03,1.0552,0.7928
2017-08-04,1.0465,-0.8245
2017-08-07,1.0525,0.5733
2017-08-08,1.0565,0.38
2017-08-09,1.058,0.142
2017-08-10,1.0534,-0.4348
2017-08-11,1.0484,-0.4747
2017-08-14,1.0853,3.5196
2017-08-15,1.0958,0.9675
2017-08-16,1.1035,0.7027
2017-08-17,1.1038,0.0272
2017-08-18,1.104,0.0181
2017-08-21,1.1053,0.1178
2017-08-22,1.1032,-0.19
2017-08-23,1.1026,-0.0544
2017-08-24,1.1009,-0.1542
2017-08-25,1.1029,0.1817
2017-08-28,1.106,0.2811
2017-08-29,1.105,-0.0904
2017-08-30,1.107,0.181
2017-08-31,1.1086,0.1445
2017-09-01,1.1094,0.0722
2017-09-04,1.1132,0.3425
2017-09-05,1.1141,0.0808
2017-09-06,1.1149,0.0718
2017-09-07,1.113,-0.1704
2017-09-08,1.1139,0.0809
2017-09-11,1.1158,0.1706
2017-09-12,1.1152,-0.0538
2017-09-13,1.1152,0.0
2017-09-14,1.116,0.0717
2017-09-15,1.1157,-0.0269
2017-09-18,1.1199,0.3764
2017-09-19,1.1176,-0.2054
2017-09-20,1.1191,0.1342
2017-09-21,1.1172,-0.1698
2017-09-22,1.1149,-0.2059
2017-09-25,1.1118,-0.2781
2017-09-26,1.1126,0.072
2017-09-27,1.1126,0.0
2017-09-28,1.11,-0.2337
2017-09-29,1.1179,0.7117
2017-10-09,1.1195,0.1431
2017-10-10,1.1215,0.1787
2017-10-11,1.1226,0.0981
2017-10-12,1.1219,-0.0624
2017-10-13,1.1227,0.0713
2017-10-16,1.119,-0.3296
2017-10-17,1.1193,0.0268
2017-10-18,1.1176,-0.1519
2017-10-19,1.1169,-0.0626
2017-10-20,1.1202,0.2955
2017-10-23,1.1217,0.1339
2017-10-24,1.1207,-0.0892
2017-10-25,1.1225,0.1606
2017-10-26,1.1223,-0.0178
2017-10-27,1.1213,-0.0891
2017-10-30,1.1173,-0.3567
2017-10-31,1.1131,-0.3759
2017-11-01,1.1118,-0.1168
2017-11-02,1.1106,-0.1079
2017-11-03,1.1094,-0.108
2017-11-06,1.1118,0.2163
2017-11-07,1.1117,-0.009
2017-11-08,1.1132,0.1349
2017-11-09,1.1201,0.6198
2017-11-10,1.1252,0.4553
2017-11-13,1.125,-0.0178
2017-11-14,1.124,-0.0889
2017-11-15,1.123,-0.089
2017-11-16,1.1228,-0.0178
2017-11-17,1.1216,-0.1069
2017-11-20,1.1218,0.0178
2017-11-21,1.1227,0.0802
2017-11-22,1.1216,-0.098
2017-11-23,1.1197,-0.1694
2017-11-24,1.1194,-0.0268
2017-11-27,1.118,-0.1251
2017-11-28,1.1186,0.0537
2017-11-29,1.1189,0.0268
2017-11-30,1.119,0.0089
2017-12-01,1.1197,0.0626
2017-12-04,1.1183,-0.125
2017-12-05,1.1173,-0.0894
2017-12-06,1.1179,0.0537
2017-12-07,1.1174,-0.0447
2017-12-08,1.1186,0.1074
2017-12-11,1.1197,0.0983
2017-12-12,1.119,-0.0625
2017-12-13,1.1194,0.0357
2017-12-14,1.1192,-0.0179
2017-12-15,1.119,-0.0179
2017-12-18,1.1178,-0.1072
2017-12-19,1.1123,-0.492
2017-12-20,1.1061,-0.5574
2017-12-21,1.1005,-0.5063
2017-12-22,1.0959,-0.418
2017-12-25,1.096,0.0091
2017-12-26,1.0966,0.0547
2017-12-27,1.0965,-0.0091
2017-12-28,1.0965,0.0
2017-12-29,1.0965,0.0
2017-12-31,1.0964,0
2018-01-02,1.0963,-0.0182
2018-01-03,1.0963,0.0
2018-01-04,1.0963,0.0
2018-01-05,1.0962,-0.0091
2018-01-08,1.1007,0.4105
2018-01-09,1.1007,0.0
2018-01-10,1.1032,0.2271
2018-01-11,1.1138,0.9608
2018-01-12,1.1186,0.431
2018-01-15,1.118,-0.0536
2018-01-16,1.1177,-0.0268
2018-01-17,1.1173,-0.0358
2018-01-18,1.1172,-0.009
2018-01-19,1.117,-0.0179
2018-01-22,1.1167,-0.0269
2018-01-23,1.1166,-0.009
2018-01-24,1.1165,-0.009
2018-01-25,1.1164,-0.009
2018-01-26,1.1163,-0.009
2018-01-29,1.116,-0.0269
2018-01-30,1.1159,-0.009
2018-01-31,1.1158,-0.009
2018-02-01,1.1157,-0.009
2018-02-02,1.1156,-0.009
2018-02-05,1.1153,-0.0269
2018-02-06,1.1152,-0.009
2018-02-07,1.1152,0.0
2018-02-08,1.1151,-0.009
2018-02-09,1.115,-0.009
2018-02-12,1.1147,-0.0269
2018-02-13,1.1146,-0.009
2018-02-14,1.1145,-0.009
2018-02-22,1.1139,-0.0538
2018-02-23,1.1138,-0.009
2018-02-26,1.1135,-0.0269
2018-02-27,1.1134,-0.009
2018-02-28,1.1133,-0.009
2018-03-01,1.1132,-0.009
2018-03-02,1.1132,0.0
2018-03-05,1.1129,-0.0269
2018-03-06,1.1128,-0.009
2018-03-07,1.1127,-0.009
2018-03-08,1.113,0.027
2018-03-09,1.1129,-0.009
2018-03-12,1.1126,-0.027
2018-03-13,1.1125,-0.009
2018-03-14,1.1124,-0.009
2018-03-15,1.1123,-0.009
