datetime,open
2015-04-14,2.259
2015-04-15,2.182
2015-04-16,2.213
2015-04-17,2.237
2015-04-20,2.194
2015-04-21,2.27
2015-04-22,2.327
2015-04-23,2.346
2015-04-24,2.352
2015-04-27,2.38
2015-04-28,2.321
2015-04-29,2.362
2015-04-30,2.376
2015-05-04,2.393
2015-05-05,2.313
2015-05-06,2.287
2015-05-07,2.245
2015-05-08,2.325
2015-05-11,2.415
2015-05-12,2.465
2015-05-13,2.474
2015-05-14,2.466
2015-05-15,2.447
2015-05-18,2.494
2015-05-19,2.557
2015-05-20,2.598
2015-05-21,2.684
2015-05-22,2.727
2015-05-25,2.789
2015-05-26,2.84
2015-05-27,2.867
2015-05-28,2.692
2015-05-29,2.722
2015-06-01,2.861
2015-06-02,2.977
2015-06-03,2.994
2015-06-04,2.99
2015-06-05,3.039
2015-06-08,3.013
2015-06-09,3.01
2015-06-10,3.064
2015-06-11,3.095
2015-06-12,3.134
2015-06-15,3.08
2015-06-16,2.969
2015-06-17,3.026
2015-06-18,2.929
2015-06-19,2.744
2015-06-23,2.778
2015-06-24,2.836
2015-06-25,2.732
2015-06-26,2.515
2015-06-29,2.261
2015-06-30,2.359
2015-07-01,2.255
2015-07-02,2.135
2015-07-03,2.031
2015-07-06,2.012
2015-07-07,1.893
2015-07-08,1.85
2015-07-09,1.892
2015-07-10,1.976
2015-07-13,2.065
2015-07-14,2.093
2015-07-15,2.001
2015-07-16,2.043
2015-07-17,2.148
2015-07-20,2.186
2015-07-21,2.215
2015-07-22,2.24
2015-07-23,2.296
2015-07-24,2.264
2015-07-27,2.105
2015-07-28,2.071
2015-07-29,2.16
2015-07-30,2.108
2015-07-31,2.094
2015-08-03,2.049
2015-08-04,2.141
2015-08-05,2.121
2015-08-06,2.11
2015-08-07,2.161
2015-08-10,2.249
2015-08-11,2.257
2015-08-12,2.231
2015-08-13,2.28
2015-08-14,2.301
2015-08-17,2.339
2015-08-18,2.177
2015-08-19,2.217
2015-08-20,2.147
